Date,State,Region,Confirmed,Deaths,Recovered
29-03-20,,Jordan,259,3,18
29-03-20,,Kazakhstan,284,1,20
29-03-20,,Kenya,42,1,1
29-03-20,,South Korea,9583,152,5033
29-03-20,,Kuwait,255,0,67
29-03-20,,Kyrgyzstan,84,0,0
29-03-20,,Latvia,347,0,1
29-03-20,,Lebanon,438,10,30
29-03-20,,Liberia,3,0,0
29-03-20,,Liechtenstein,56,0,28
29-03-20,,Lithuania,460,7,1
29-03-20,,Luxembourg,1950,21,40
29-03-20,,Madagascar,39,0,0
29-03-20,,Malaysia,2470,35,388
29-03-20,,Maldives,17,0,13
29-03-20,,Malta,151,0,2
29-03-20,,Mauritania,5,0,2
29-03-20,,Mauritius,107,3,0
29-03-20,,Mexico,993,20,4
29-03-20,,Moldova,263,2,2
29-03-20,,Monaco,46,1,1
29-03-20,,Mongolia,12,0,0
29-03-20,,Montenegro,85,1,0
29-03-20,,Morocco,479,26,13
29-03-20,,Namibia,11,0,2
29-03-20,,Nepal,5,0,1
29-03-20,Aruba,Netherlands,50,0,1
29-03-20,Curacao,Netherlands,8,1,2
29-03-20,Sint Maarten,Netherlands,6,0,0
29-03-20,,Netherlands,10866,771,0
29-03-20,,New Zealand,514,1,56
29-03-20,,Nicaragua,4,1,0
29-03-20,,Niger,18,1,0
29-03-20,,Nigeria,111,1,3
29-03-20,,North Macedonia,259,6,3
29-03-20,,Norway,4284,25,7
29-03-20,,Oman,167,0,23
29-03-20,,Pakistan,1717,21,76
29-03-20,,Panama,901,17,4
29-03-20,,Papua New Guinea,1,0,0
29-03-20,,Paraguay,59,3,1
29-03-20,,Peru,852,18,16
29-03-20,,Philippines,1418,71,42
29-03-20,,Poland,1862,22,7
29-03-20,,Portugal,5962,119,43
29-03-20,,Qatar,634,1,48
29-03-20,,Romania,1815,43,206
29-03-20,,Russia,1534,8,64
29-03-20,,Rwanda,70,0,0
29-03-20,,Saint Lucia,9,0,1
29-03-20,,Saint Vincent and the Grenadines,1,0,1
29-03-20,,San Marino,224,22,6
29-03-20,,Saudi Arabia,1299,8,66
29-03-20,,Senegal,142,0,27
29-03-20,,Serbia,741,13,0
29-03-20,,Seychelles,8,0,0
29-03-20,,Singapore,844,3,212
29-03-20,,Slovakia,314,0,2
29-03-20,,Slovenia,730,11,10
29-03-20,,Somalia,3,0,0
29-03-20,,South Africa,1280,2,31
29-03-20,,Spain,80110,6803,14709
29-03-20,,Sri Lanka,117,1,11
29-03-20,,Sudan,6,1,0
29-03-20,,Suriname,8,0,0
29-03-20,,Sweden,3700,110,0
29-03-20,,Switzerland,14829,300,1595
29-03-20,,Taiwan*,298,2,30
29-03-20,,Tanzania,14,0,1
29-03-20,,Thailand,1388,7,97
29-03-20,,Togo,25,1,1
29-03-20,,Trinidad and Tobago,78,3,1
29-03-20,,Tunisia,312,8,2
29-03-20,,Turkey,9217,131,105
29-03-20,,Uganda,33,0,0
29-03-20,,Ukraine,475,10,6
29-03-20,,United Arab Emirates,570,3,58
29-03-20,Bermuda,United Kingdom,22,0,2
29-03-20,Cayman Islands,United Kingdom,8,1,0
29-03-20,Channel Islands,United Kingdom,108,2,0
29-03-20,Gibraltar,United Kingdom,65,0,14
29-03-20,Isle of Man,United Kingdom,42,0,0
29-03-20,Montserrat,United Kingdom,5,0,0
29-03-20,,United Kingdom,29696,1670,135
29-03-20,,Uruguay,309,1,0
29-03-20,,US,141205,3561,2665
29-03-20,,Uzbekistan,144,2,7
